iter	Accuracy	CrossEntropy
0	0.7902875091	0.6806197182
1	0.7964484175	0.6697096697
2	0.7999516791	0.6590857298
3	0.7999516791	0.6486110802
4	0.7983812515	0.6385668736
5	0.7982604494	0.6286692456
6	0.8034549408	0.6196615615
7	0.8030925344	0.6115049379
8	0.8029717323	0.6034421539
9	0.8043005557	0.5954042649
10	0.8057501812	0.5879326681
11	0.8068374003	0.5809718479
12	0.806474994	0.5731141557
13	0.8057501812	0.5658663889
14	0.8069582025	0.5591884126
15	0.8080454216	0.5531118396
16	0.8094950471	0.5473780343
17	0.8100990577	0.5414549186
18	0.8107030684	0.5364695412
19	0.807441411	0.5319611752
20	0.807441411	0.5273708895
21	0.8079246195	0.5227620961
22	0.8081662237	0.5182861964
23	0.8087702344	0.5131085847
24	0.8091326407	0.5083026256
25	0.8087702344	0.5040962724
26	0.8097366514	0.5001655049
27	0.8105822662	0.4966412504
28	0.8111862769	0.4923436312
29	0.811307079	0.4888271155
30	0.8114278811	0.4854807096
31	0.812273496	0.4816029571
32	0.8115486833	0.4785394704
33	0.8119110896	0.4755688063
34	0.8121526939	0.4725261823
35	0.8128775066	0.4695156323
36	0.8136023194	0.4668198515
37	0.8126359024	0.4644125776
38	0.8140855279	0.461580301
39	0.8139647258	0.4586608955
40	0.81420633	0.4565866149
41	0.8143271322	0.4543711924
42	0.8154143513	0.4514424623
43	0.8160183619	0.4495120208
44	0.8166223726	0.447387251
45	0.8168639768	0.4451014339
46	0.8167431747	0.4431034208
47	0.8177095917	0.4409343171
48	0.8180719981	0.438900878
49	0.8195216236	0.4364449839
50	0.8200048321	0.4345193188
51	0.8202464363	0.4327342591
52	0.8231456874	0.4311676563
53	0.8216960619	0.4292758336
54	0.8225416767	0.427334308
55	0.8230248852	0.4254708406
56	0.8242329065	0.4238016304
57	0.8255617299	0.422335157
58	0.8260449384	0.4206582376
59	0.8264073448	0.4188495753
60	0.8267697511	0.4175017566
61	0.8278569703	0.4154456534
62	0.8274945639	0.4136944283
63	0.8279777724	0.4123554892
64	0.8278569703	0.4108535364
65	0.8277361682	0.4095130256
66	0.8288233873	0.4084037122
67	0.8291857937	0.4071761544
68	0.8303938149	0.4060517313
69	0.8306354192	0.4047193307
70	0.8309978256	0.4035895357
71	0.8300314086	0.4028090426
72	0.8301522107	0.401872161
73	0.8303938149	0.4006627037
74	0.8312394298	0.3993201282
75	0.8317226383	0.3979030213
76	0.8324474511	0.3971970367
77	0.8328098575	0.3962566117
78	0.8336554723	0.3949354838
79	0.8334138681	0.3940067149
80	0.8341386808	0.3928807818
81	0.8343802851	0.391802546
82	0.8353467021	0.390833809
83	0.8355883064	0.38975817
84	0.8359507127	0.3889623899
85	0.8363131191	0.388062073
86	0.8363131191	0.387204865
87	0.8354675042	0.3866024123
88	0.8351050978	0.3855880693
89	0.8360715149	0.3849162921
90	0.8352259	0.3843137357
91	0.8359507127	0.3834408592
92	0.836192317	0.3827813288
93	0.8363131191	0.3820792037
94	0.837158734	0.3811783717
95	0.8372795361	0.3804838289
96	0.8363131191	0.3793240888
97	0.837158734	0.3786715915
98	0.8380043489	0.3775700252
99	0.8386083595	0.3767526099
100	0.8392123701	0.3759632278
101	0.8395747765	0.3751313263
102	0.8401787871	0.3745519071
103	0.840057985	0.3737681396
104	0.8404203914	0.3732307535
105	0.8406619957	0.3718806843
106	0.8405411935	0.371033956
107	0.8409035999	0.3705338775
108	0.8411452042	0.3697708233
109	0.8411452042	0.3691375484
110	0.8412660063	0.3684110142
111	0.841990819	0.3676930963
112	0.8421116212	0.3671803448
113	0.8424740275	0.3665740644
114	0.842957236	0.3661479157
115	0.842957236	0.3656407949
116	0.8430780382	0.3651365561
117	0.8431988403	0.3643906033
118	0.8436820488	0.3637045608
119	0.8439236531	0.3631313026
120	0.8440444552	0.3628320968
121	0.8441652573	0.362114761
122	0.8446484658	0.3615810109
123	0.8452524764	0.3603911844
124	0.8454940807	0.3597492615
125	0.8457356849	0.3593511348
126	0.8459772892	0.3589889633
127	0.8462188935	0.3582527017
128	0.8465812998	0.3576607712
129	0.8469437062	0.357153985
130	0.8471853105	0.3567322594
131	0.8473061126	0.3563574559
132	0.8470645083	0.3558609903
133	0.8479101232	0.3548322424
134	0.847668519	0.3543830289
135	0.8477893211	0.3539516782
136	0.8475477168	0.3534865761
137	0.8475477168	0.3530278555
138	0.847668519	0.3522891458
139	0.8474269147	0.3519725074
140	0.8479101232	0.3516424052
141	0.8479101232	0.3510837573
142	0.8480309253	0.3503843223
143	0.8479101232	0.3498426369
144	0.8480309253	0.3495159262
145	0.8483933317	0.3491814659
146	0.8488765402	0.3487103457
147	0.8488765402	0.3483411267
148	0.8491181445	0.3479776482
149	0.8497221551	0.3476268008
150	0.8497221551	0.3471417737
151	0.8498429572	0.3467191177
152	0.8500845615	0.3462589223
153	0.8502053636	0.3458377871
154	0.8506885721	0.3451920642
155	0.8508093742	0.344692452
156	0.8509301764	0.3444435764
157	0.8511717806	0.3442310744
158	0.8512925827	0.3438141213
159	0.8514133849	0.3433628797
160	0.8516549891	0.3431599646
161	0.8521381976	0.3424140789
162	0.8523798019	0.3419231135
163	0.8523798019	0.3417287314
164	0.8527422083	0.3415346352
165	0.8531046146	0.3412165356
166	0.8535878231	0.3407458377
167	0.8537086253	0.3404073521
168	0.853467021	0.3399444193
169	0.8535878231	0.3395922826
170	0.8538294274	0.3393404365
171	0.8538294274	0.3391355495
172	0.8538294274	0.3388957831
173	0.8539502295	0.3381202442
174	0.8540710317	0.337897976
175	0.8541918338	0.3375760429
176	0.8545542402	0.3372551084
177	0.8546750423	0.3369870863
178	0.8547958444	0.336698854
179	0.8552790529	0.3365200432
180	0.8551582508	0.3361569556
181	0.8551582508	0.3359743554
182	0.8552790529	0.3358382886
183	0.8556414593	0.3353310554
184	0.8556414593	0.3352352671
185	0.8556414593	0.3346014238
186	0.8556414593	0.3343513
187	0.8556414593	0.3341367682
188	0.8556414593	0.3340098101
189	0.8555206572	0.3334482503
190	0.855399855	0.3332538705
191	0.8557622614	0.3330229659
192	0.8556414593	0.3326974016
193	0.855399855	0.3322640983
194	0.855399855	0.3320984789
195	0.8556414593	0.3320015353
196	0.8557622614	0.3315292501
197	0.8558830635	0.3313353724
