iter	Passed	Remaining
0	16	13580
1	32	12967
2	47	12602
3	62	12369
4	75	12060
5	90	11957
6	105	11925
7	120	11968
8	135	11886
9	151	11930
10	167	11985
11	184	12110
12	201	12175
13	218	12265
14	234	12286
15	252	12388
16	269	12430
17	285	12393
18	300	12345
19	315	12315
20	331	12302
21	347	12300
22	363	12283
23	379	12286
24	395	12274
25	412	12288
26	428	12267
27	443	12231
28	459	12218
29	475	12203
30	490	12171
31	505	12121
32	521	12109
33	535	12057
34	548	11986
35	562	11937
36	585	12077
37	612	12282
38	639	12475
39	660	12554
40	678	12564
41	702	12684
42	718	12647
43	733	12596
44	750	12590
45	765	12550
46	780	12503
47	795	12467
48	812	12454
49	827	12413
50	841	12357
51	855	12312
52	870	12273
53	886	12248
54	901	12213
55	917	12188
56	933	12162
57	948	12130
58	963	12101
59	978	12067
60	992	12028
61	1007	11987
62	1021	11949
63	1036	11918
64	1052	11899
65	1068	11885
66	1083	11859
67	1099	11840
68	1115	11821
69	1131	11798
70	1146	11775
71	1161	11746
72	1176	11720
73	1191	11689
74	1205	11653
75	1219	11620
76	1234	11588
77	1248	11558
78	1264	11536
79	1280	11523
80	1297	11514
81	1315	11518
82	1333	11517
83	1350	11507
84	1367	11505
85	1385	11506
86	1403	11498
87	1421	11502
88	1438	11493
89	1455	11479
90	1471	11461
91	1487	11444
92	1502	11419
93	1516	11386
94	1529	11353
95	1543	11320
96	1558	11296
97	1575	11282
98	1591	11270
99	1609	11265
100	1626	11253
101	1642	11241
102	1658	11223
103	1674	11204
104	1691	11194
105	1708	11185
106	1724	11171
107	1741	11160
108	1756	11137
109	1773	11122
110	1789	11108
111	1805	11093
112	1823	11087
113	1840	11073
114	1857	11062
115	1873	11047
116	1892	11045
117	1908	11031
118	1924	11015
119	1941	11002
120	1957	10986
121	1972	10960
122	1986	10936
123	2002	10917
124	2017	10897
125	2033	10877
126	2048	10856
127	2065	10843
128	2081	10824
129	2096	10804
130	2111	10784
131	2127	10764
132	2142	10744
133	2158	10726
134	2172	10703
135	2188	10684
136	2202	10659
137	2216	10632
138	2230	10607
139	2244	10582
140	2259	10560
141	2274	10540
142	2290	10521
143	2306	10505
144	2321	10487
145	2351	10535
146	2365	10509
147	2378	10479
148	2392	10451
149	2407	10434
150	2423	10414
151	2438	10394
152	2453	10375
153	2469	10357
154	2485	10344
155	2501	10326
156	2517	10311
157	2535	10302
158	2552	10289
159	2569	10278
160	2586	10264
161	2602	10250
162	2619	10235
163	2636	10224
164	2653	10211
165	2669	10197
166	2687	10188
167	2705	10178
168	2722	10164
169	2739	10150
170	2756	10138
171	2772	10122
172	2788	10106
173	2805	10093
174	2822	10078
175	2839	10068
176	2855	10051
177	2869	10027
178	2884	10008
179	2899	9986
180	2915	9970
181	2930	9950
182	2946	9934
183	2961	9915
184	2977	9897
185	2993	9880
186	3008	9861
187	3023	9842
188	3039	9824
189	3054	9806
190	3069	9786
191	3083	9765
192	3100	9750
193	3116	9733
194	3130	9713
195	3145	9694
196	3161	9678
197	3179	9665
198	3194	9648
199	3212	9636
200	3228	9621
201	3244	9606
202	3261	9590
203	3277	9575
204	3293	9559
205	3310	9544
206	3327	9531
207	3344	9519
208	3360	9502
209	3375	9482
210	3391	9466
211	3406	9448
212	3422	9431
213	3437	9413
214	3452	9394
215	3467	9375
216	3482	9355
217	3497	9337
218	3511	9315
219	3526	9297
220	3542	9281
221	3559	9266
222	3575	9251
223	3592	9237
224	3611	9229
225	3626	9211
226	3642	9195
227	3659	9181
228	3676	9167
229	3692	9150
230	3708	9135
231	3725	9120
232	3741	9105
233	3757	9087
234	3772	9071
235	3790	9059
236	3807	9045
237	3824	9030
238	3841	9017
239	3859	9005
240	3874	8987
241	3890	8971
242	3907	8955
243	3924	8941
244	3940	8927
245	3956	8911
246	3979	8908
247	3994	8891
248	4010	8875
249	4027	8859
250	4042	8842
251	4058	8824
252	4073	8808
253	4090	8791
254	4105	8775
255	4122	8761
256	4139	8746
257	4158	8736
258	4174	8720
259	4190	8703
260	4206	8686
261	4222	8671
262	4238	8655
263	4255	8638
264	4271	8623
265	4287	8607
266	4304	8592
267	4320	8576
268	4336	8560
269	4352	8543
270	4367	8526
271	4383	8508
272	4399	8492
273	4416	8477
274	4432	8461
275	4448	8445
276	4465	8431
277	4481	8415
278	4497	8397
279	4513	8381
280	4528	8364
281	4544	8347
282	4563	8336
283	4580	8322
284	4595	8304
285	4613	8291
286	4630	8276
287	4648	8263
288	4664	8247
289	4680	8230
290	4696	8214
291	4712	8198
292	4729	8182
293	4744	8166
294	4759	8147
295	4775	8131
296	4791	8115
297	4807	8098
298	4823	8082
299	4839	8065
300	4863	8061
301	4879	8046
302	4896	8030
303	4911	8014
304	4927	7997
305	4943	7980
306	4958	7961
307	4974	7946
308	4990	7929
309	5006	7913
310	5022	7896
311	5037	7878
312	5052	7861
313	5068	7844
314	5084	7828
315	5101	7813
316	5117	7796
317	5133	7780
318	5149	7764
319	5166	7749
320	5187	7740
321	5221	7751
322	5250	7754
323	5271	7744
324	5291	7734
325	5310	7721
326	5326	7704
327	5342	7688
328	5363	7679
329	5379	7662
330	5397	7648
331	5414	7632
332	5430	7615
333	5446	7598
334	5461	7581
335	5477	7564
336	5493	7547
337	5509	7530
338	5524	7512
339	5539	7495
340	5555	7477
341	5569	7458
342	5585	7441
343	5604	7429
344	5620	7412
345	5636	7395
346	5652	7379
347	5668	7362
348	5684	7346
349	5701	7330
350	5717	7314
351	5734	7298
352	5750	7281
353	5766	7264
354	5771	7235
355	5788	7219
356	5803	7202
357	5821	7186
358	5837	7171
359	5852	7153
360	5869	7137
361	5885	7120
362	5901	7104
363	5917	7087
364	5933	7071
365	5948	7054
366	5975	7049
367	5988	7029
368	6001	7010
369	6016	6991
370	6031	6974
371	6047	6957
372	6062	6940
373	6078	6923
374	6093	6906
375	6109	6889
376	6124	6871
377	6139	6853
378	6153	6835
379	6167	6816
380	6181	6798
381	6196	6780
382	6213	6764
383	6233	6753
384	6248	6735
385	6264	6718
386	6278	6700
387	6293	6683
388	6308	6665
389	6323	6647
390	6338	6630
391	6354	6613
392	6371	6598
393	6386	6581
394	6401	6563
395	6417	6547
396	6432	6529
397	6447	6512
398	6460	6492
399	6478	6478
400	6491	6459
401	6507	6443
402	6521	6424
403	6537	6407
404	6553	6391
